twitter,domain,name,type
katyperry,katyperry.com,KATY PERRY,celebrity
justinbieber,smarturl.it,Justin Bieber,celebrity
taylorswift13,grmypro.co,Taylor Swift,celebrity
rihanna,rihannanow.com,Rihanna,celebrity
ladygaga,,The Countess,celebrity
jtimberlake,justintimberlake.com,Justin Timberlake,celebrity
TheEllenShow,ellentube.com,Ellen DeGeneres,celebrity
britneyspears,britney.lk,Britney Spears,celebrity
Cristiano,,Cristiano Ronaldo,celebrity
KimKardashian,AppStore.com,Kim Kardashian West,celebrity
shakira,rov.io,Shakira,celebrity
selenagomez,smarturl.it,Selena Gomez,celebrity
JLo,jlo.lk,Jennifer Lopez,celebrity
ArianaGrande,smarturl.it,Ariana Grande,celebrity
ddlovato,demilovato.com,Demi Lovato,celebrity
